lat,lon,roof_area_m2,ghi,dni,pvout,avg_temp,usability_factor,panel_efficiency,tilt_angle,annual_kwh_actual
8.0,70.75,105.0,1.0,,,29.8,0.7,0.18,10.1,
8.0,70.75,188.8,1.0,,,29.8,0.69,0.19,10.1,
8.0,70.75,348.3,1.0,,,29.8,0.62,0.21,10.1,
8.0,70.75,304.5,1.0,,,29.8,0.66,0.21,10.1,
8.0,70.75,334.2,1.0,,,29.8,0.7,0.19,10.1,
8.0,71.0,330.6,1.0,,,29.8,0.69,0.19,10.1,
8.0,71.0,327.7,1.0,,,29.8,0.66,0.2,10.1,
8.0,71.0,170.8,1.0,,,29.8,0.8,0.19,10.1,
8.0,71.0,142.6,1.0,,,29.8,0.65,0.21,10.1,
8.0,71.0,312.1,1.0,,,29.8,0.84,0.19,10.1,
8.0,71.25,173.5,1.0,,,29.8,0.8,0.18,10.1,
8.0,71.25,209.4,1.0,,,29.8,0.85,0.2,10.1,
8.0,71.25,193.1,1.0,,,29.8,0.79,0.21,10.1,
8.0,71.25,100.2,1.0,,,29.8,0.61,0.22,10.1,
8.0,71.25,125.0,1.0,,,29.8,0.7,0.21,10.1,
8.0,71.5,244.2,1.0,,,29.8,0.8,0.18,10.1,
8.0,71.5,147.6,1.0,,,29.8,0.82,0.2,10.1,
8.0,71.5,228.4,1.0,,,29.8,0.65,0.2,10.1,
8.0,71.5,164.3,1.0,,,29.8,0.75,0.18,10.1,
8.0,71.5,196.4,1.0,,,29.8,0.67,0.21,10.1,
8.0,71.75,226.7,1.0,,,29.8,0.73,0.22,10.1,
8.0,71.75,300.6,1.0,,,29.8,0.76,0.2,10.1,
8.0,71.75,314.2,1.0,,,29.8,0.82,0.19,10.1,
8.0,71.75,188.8,1.0,,,29.8,0.73,0.21,10.1,
8.0,71.75,326.8,1.0,,,29.8,0.74,0.18,10.1,
8.0,72.0,106.5,1.0,,,29.8,0.73,0.2,10.1,
8.0,72.0,321.4,1.0,,,29.8,0.7,0.19,10.1,
8.0,72.0,122.4,1.0,,,29.8,0.8,0.19,10.1,
8.0,72.0,220.1,1.0,,,29.8,0.84,0.18,10.1,
8.0,72.0,158.6,1.0,,,29.8,0.77,0.19,10.1,
8.0,72.25,343.4,1.0,,,29.8,0.78,0.19,10.1,
8.0,72.25,201.0,1.0,,,29.8,0.68,0.18,10.1,
8.0,72.25,333.4,1.0,,,29.8,0.68,0.22,10.1,
8.0,72.25,236.1,1.0,,,29.8,0.62,0.21,10.1,
8.0,72.25,249.6,1.0,,,29.8,0.84,0.2,10.1,
8.0,72.5,162.7,1.0,,,29.8,0.83,0.17,10.1,
8.0,72.5,175.8,1.0,,,29.8,0.64,0.2,10.1,
8.0,72.5,69.1,1.0,,,29.8,0.65,0.22,10.1,
8.0,72.5,279.2,1.0,,,29.8,0.69,0.21,10.1,
8.0,72.5,167.6,1.0,,,29.8,0.74,0.2,10.1,
8.0,72.75,304.3,1.0,,,29.8,0.7,0.19,10.1,
8.0,72.75,236.3,1.0,,,29.8,0.63,0.21,10.1,
8.0,72.75,200.9,1.0,,,29.8,0.65,0.19,10.1,
8.0,72.75,278.7,1.0,,,29.8,0.8,0.2,10.1,
8.0,72.75,57.0,1.0,,,29.8,0.84,0.2,10.1,
8.0,73.0,52.7,1.0,,,29.8,0.84,0.2,10.1,
8.0,73.0,111.0,1.0,,,29.8,0.68,0.21,10.1,
8.0,73.0,119.0,1.0,,,29.8,0.67,0.19,10.1,
8.0,73.0,162.6,1.0,,,29.8,0.78,0.22,10.1,
8.0,73.0,328.5,1.0,,,29.8,0.62,0.21,10.1,
8.0,73.25,326.1,1.0,,,29.8,0.8,0.19,10.1,
8.0,73.25,139.4,1.0,,,29.8,0.77,0.22,10.1,
8.0,73.25,81.8,1.0,,,29.8,0.8,0.21,10.1,
8.0,73.25,323.4,1.0,,,29.8,0.69,0.22,10.1,
8.0,73.25,271.9,1.0,,,29.8,0.6,0.2,10.1,
8.0,73.5,137.8,1.0,,,29.8,0.76,0.2,10.1,
8.0,73.5,141.2,1.0,,,29.8,0.68,0.2,10.1,
8.0,73.5,315.4,1.0,,,29.8,0.62,0.18,10.1,
8.0,73.5,320.6,1.0,,,29.8,0.84,0.21,10.1,
8.0,73.5,292.5,1.0,,,29.8,0.7,0.21,10.1,
8.0,73.75,224.2,1.0,,,29.8,0.79,0.19,10.1,
8.0,73.75,170.1,1.0,,,29.8,0.72,0.2,10.1,
8.0,73.75,259.3,1.0,,,29.8,0.69,0.21,10.1,
8.0,73.75,112.2,1.0,,,29.8,0.81,0.17,10.1,
8.0,73.75,269.2,1.0,,,29.8,0.82,0.2,10.1,
8.0,74.0,287.9,1.0,,,29.8,0.63,0.22,10.1,
8.0,74.0,217.1,1.0,,,29.8,0.61,0.22,10.1,
8.0,74.0,77.4,1.0,,,29.8,0.8,0.2,10.1,
8.0,74.0,202.4,1.0,,,29.8,0.71,0.18,10.1,
8.0,74.0,287.4,1.0,,,29.8,0.63,0.18,10.1,
8.0,74.25,139.2,1.0,,,29.8,0.68,0.21,10.1,
8.0,74.25,257.2,1.0,,,29.8,0.68,0.21,10.1,
8.0,74.25,232.7,1.0,,,29.8,0.62,0.2,10.1,
8.0,74.25,237.9,1.0,,,29.8,0.65,0.2,10.1,
8.0,74.25,254.6,1.0,,,29.8,0.83,0.17,10.1,
8.0,74.5,158.2,1.0,,,29.8,0.61,0.21,10.1,
8.0,74.5,105.5,1.0,,,29.8,0.77,0.22,10.1,
8.0,74.5,237.6,1.0,,,29.8,0.66,0.21,10.1,
8.0,74.5,330.6,1.0,,,29.8,0.76,0.17,10.1,
8.0,74.5,250.7,1.0,,,29.8,0.67,0.19,10.1,
8.0,74.75,180.6,1.0,,,29.8,0.82,0.22,10.1,
8.0,74.75,293.5,1.0,,,29.8,0.6,0.21,10.1,
8.0,74.75,251.3,1.0,,,29.8,0.82,0.21,10.1,
8.0,74.75,76.7,1.0,,,29.8,0.64,0.2,10.1,
8.0,74.75,343.4,1.0,,,29.8,0.84,0.18,10.1,
8.0,75.0,225.2,1.0,,,29.8,0.61,0.18,10.1,
8.0,75.0,160.2,1.0,,,29.8,0.77,0.18,10.1,
8.0,75.0,330.5,1.0,,,29.8,0.66,0.17,10.1,
8.0,75.0,52.8,1.0,,,29.8,0.78,0.18,10.1,
8.0,75.0,343.9,1.0,,,29.8,0.78,0.19,10.1,
8.0,75.25,325.2,1.0,,,29.8,0.79,0.19,10.1,
8.0,75.25,236.9,1.0,,,29.8,0.65,0.22,10.1,
8.0,75.25,216.2,1.0,,,29.8,0.68,0.17,10.1,
8.0,75.25,347.0,1.0,,,29.8,0.75,0.21,10.1,
8.0,75.25,126.8,1.0,,,29.8,0.7,0.19,10.1,
8.0,75.5,98.6,1.0,,,29.8,0.66,0.19,10.1,
8.0,75.5,309.9,1.0,,,29.8,0.8,0.18,10.1,
8.0,75.5,189.8,1.0,,,29.8,0.61,0.2,10.1,
8.0,75.5,260.9,1.0,,,29.8,0.7,0.22,10.1,
8.0,75.5,276.8,1.0,,,29.8,0.8,0.17,10.1,
8.0,75.75,178.6,1.0,,,29.8,0.8,0.21,10.1,
8.0,75.75,59.2,1.0,,,29.8,0.75,0.21,10.1,
8.0,75.75,329.8,1.0,,,29.8,0.81,0.19,10.1,
8.0,75.75,209.5,1.0,,,29.8,0.83,0.21,10.1,
8.0,75.75,337.3,1.0,,,29.8,0.79,0.2,10.1,
8.0,76.0,54.8,1.0,,,29.8,0.75,0.22,10.1,
8.0,76.0,207.0,1.0,,,29.8,0.85,0.18,10.1,
8.0,76.0,191.2,1.0,,,29.8,0.81,0.22,10.1,
8.0,76.0,42.2,1.0,,,29.8,0.83,0.21,10.1,
8.0,76.0,349.7,1.0,,,29.8,0.77,0.2,10.1,
8.0,76.25,282.7,1.0,,,29.8,0.82,0.2,10.1,
8.0,76.25,316.9,1.0,,,29.8,0.82,0.2,10.1,
8.0,76.25,171.9,1.0,,,29.8,0.82,0.18,10.1,
8.0,76.25,166.5,1.0,,,29.8,0.71,0.18,10.1,
8.0,76.25,164.7,1.0,,,29.8,0.65,0.19,10.1,
8.0,76.5,45.4,1.0,,,29.8,0.78,0.17,10.1,
8.0,76.5,186.0,1.0,,,29.8,0.75,0.18,10.1,
8.0,76.5,310.4,1.0,,,29.8,0.76,0.21,10.1,
8.0,76.5,102.6,1.0,,,29.8,0.72,0.17,10.1,
8.0,76.5,205.7,1.0,,,29.8,0.82,0.18,10.1,
8.0,76.75,82.1,1.0,,,29.8,0.69,0.22,10.1,
8.0,76.75,89.2,1.0,,,29.8,0.6,0.19,10.1,
8.0,76.75,91.9,1.0,,,29.8,0.85,0.19,10.1,
8.0,76.75,331.7,1.0,,,29.8,0.65,0.18,10.1,
8.0,76.75,110.2,1.0,,,29.8,0.72,0.17,10.1,
8.0,77.0,92.6,1.0,,,29.8,0.74,0.22,10.1,
8.0,77.0,284.5,1.0,,,29.8,0.82,0.2,10.1,
8.0,77.0,160.5,1.0,,,29.8,0.75,0.21,10.1,
8.0,77.0,48.9,1.0,,,29.8,0.85,0.17,10.1,
8.0,77.0,209.8,1.0,,,29.8,0.75,0.18,10.1,
8.0,77.25,263.2,1.0,,,29.8,0.75,0.2,10.1,
8.0,77.25,89.7,1.0,,,29.8,0.65,0.2,10.1,
8.0,77.25,76.7,1.0,,,29.8,0.66,0.19,10.1,
8.0,77.25,109.2,1.0,,,29.8,0.63,0.19,10.1,
8.0,77.25,148.7,1.0,,,29.8,0.65,0.18,10.1,
8.0,77.5,42.3,5.375,4.302,1666.2,29.8,0.73,0.22,10.1,9053.9
8.0,77.5,274.9,5.375,4.302,1666.2,29.8,0.75,0.2,10.1,62304.9
8.0,77.5,279.0,5.375,4.302,1666.2,29.8,0.84,0.2,10.1,73892.1
8.0,77.5,251.4,5.375,4.302,1666.2,29.8,0.8,0.18,10.1,66138.3
8.0,77.5,61.7,5.375,4.302,1666.2,29.8,0.75,0.21,10.1,14881.0
8.0,77.75,250.8,1.0,,,29.8,0.71,0.22,10.1,
8.0,77.75,203.4,1.0,,,29.8,0.79,0.19,10.1,
8.0,77.75,308.0,1.0,,,29.8,0.68,0.17,10.1,
8.0,77.75,75.8,1.0,,,29.8,0.79,0.19,10.1,
8.0,77.75,99.9,1.0,,,29.8,0.84,0.2,10.1,
8.0,78.0,308.9,1.0,,,29.8,0.64,0.21,10.1,
8.0,78.0,329.4,1.0,,,29.8,0.81,0.21,10.1,
8.0,78.0,134.6,1.0,,,29.8,0.67,0.21,10.1,
8.0,78.0,334.7,1.0,,,29.8,0.68,0.22,10.1,
8.0,78.0,179.4,1.0,,,29.8,0.81,0.19,10.1,
8.0,78.25,147.8,1.0,,,29.8,0.68,0.21,10.1,
8.0,78.25,93.4,1.0,,,29.8,0.81,0.17,10.1,
8.0,78.25,92.3,1.0,,,29.8,0.67,0.21,10.1,
8.0,78.25,45.9,1.0,,,29.8,0.72,0.21,10.1,
8.0,78.25,63.8,1.0,,,29.8,0.72,0.19,10.1,
8.0,78.5,298.4,1.0,,,29.8,0.67,0.2,10.1,
8.0,78.5,255.0,1.0,,,29.8,0.74,0.21,10.1,
8.0,78.5,330.8,1.0,,,29.8,0.82,0.22,10.1,
8.0,78.5,284.4,1.0,,,29.8,0.74,0.17,10.1,
8.0,78.5,195.1,1.0,,,29.8,0.64,0.21,10.1,
8.0,78.75,165.8,1.0,,,29.8,0.73,0.2,10.1,
8.0,78.75,288.9,1.0,,,29.8,0.66,0.2,10.1,
8.0,78.75,291.2,1.0,,,29.8,0.82,0.18,10.1,
8.0,78.75,304.0,1.0,,,29.8,0.61,0.19,10.1,
8.0,78.75,67.3,1.0,,,29.8,0.68,0.21,10.1,
8.0,79.0,349.3,1.0,,,29.8,0.83,0.2,10.1,
8.0,79.0,236.6,1.0,,,29.8,0.81,0.21,10.1,
8.0,79.0,277.4,1.0,,,29.8,0.64,0.2,10.1,
8.0,79.0,273.3,1.0,,,29.8,0.79,0.17,10.1,
8.0,79.0,282.8,1.0,,,29.8,0.83,0.22,10.1,
8.0,79.25,140.2,1.0,,,29.8,0.79,0.21,10.1,
8.0,79.25,132.5,1.0,,,29.8,0.66,0.2,10.1,
8.0,79.25,170.1,1.0,,,29.8,0.81,0.21,10.1,
8.0,79.25,40.2,1.0,,,29.8,0.62,0.22,10.1,
8.0,79.25,189.6,1.0,,,29.8,0.61,0.2,10.1,
8.0,79.5,242.9,1.0,,,29.8,0.73,0.21,10.1,
8.0,79.5,337.6,1.0,,,29.8,0.78,0.22,10.1,
8.0,79.5,99.7,1.0,,,29.8,0.65,0.2,10.1,
8.0,79.5,150.1,1.0,,,29.8,0.69,0.22,10.1,
8.0,79.5,269.6,1.0,,,29.8,0.76,0.2,10.1,
8.0,79.75,189.6,5.123,4.048,1624.4,29.8,0.62,0.18,10.1,36972.2
8.0,79.75,135.5,5.123,4.048,1624.4,29.8,0.66,0.19,10.1,25962.6
8.0,79.75,157.8,5.123,4.048,1624.4,29.8,0.61,0.2,10.1,28221.3
8.0,79.75,133.2,5.123,4.048,1624.4,29.8,0.76,0.19,10.1,30047.7
8.0,79.75,92.0,5.123,4.048,1624.4,29.8,0.73,0.21,10.1,20826.8
8.0,80.0,164.9,4.596,3.518,1538.1,29.8,0.76,0.21,10.1,33165.6
8.0,80.0,289.8,4.596,3.518,1538.1,29.8,0.8,0.18,10.1,63477.9
8.0,80.0,123.8,4.596,3.518,1538.1,29.8,0.6,0.18,10.1,19384.0
8.0,80.0,193.1,4.596,3.518,1538.1,29.8,0.75,0.21,10.1,40283.5
8.0,80.0,276.9,4.596,3.518,1538.1,29.8,0.78,0.18,10.1,61305.0
8.0,80.25,137.9,4.618,3.54,1536.3,29.8,0.69,0.21,10.1,27354.5
8.0,80.25,48.4,4.618,3.54,1536.3,29.8,0.76,0.17,10.1,10830.2
8.0,80.25,244.2,4.618,3.54,1536.3,29.8,0.65,0.21,10.1,45791.5
8.0,80.25,285.7,4.618,3.54,1536.3,29.8,0.64,0.19,10.1,53493.8
8.0,80.25,165.2,4.618,3.54,1536.3,29.8,0.81,0.21,10.1,36952.0
8.0,80.5,235.6,4.718,3.641,1547.0,29.8,0.65,0.21,10.1,45401.8
8.0,80.5,251.1,4.718,3.641,1547.0,29.8,0.79,0.17,10.1,54896.7
8.0,80.5,216.6,4.718,3.641,1547.0,29.8,0.64,0.18,10.1,41517.2
8.0,80.5,252.7,4.718,3.641,1547.0,29.8,0.77,0.2,10.1,56921.3
8.0,80.5,111.0,4.718,3.641,1547.0,29.8,0.77,0.19,10.1,25408.7
8.0,80.75,284.4,4.835,3.758,1553.7,29.8,0.81,0.2,10.1,63874.0
8.0,80.75,287.5,4.835,3.758,1553.7,29.8,0.68,0.17,10.1,53520.4
8.0,80.75,274.2,4.835,3.758,1553.7,29.8,0.83,0.19,10.1,67723.8
8.0,80.75,280.9,4.835,3.758,1553.7,29.8,0.7,0.22,10.1,59933.9
8.0,80.75,280.5,4.835,3.758,1553.7,29.8,0.62,0.21,10.1,47331.1
8.0,81.0,254.9,5.016,3.941,1565.6,29.8,0.65,0.21,10.1,47429.1
8.0,81.0,184.4,5.016,3.941,1565.6,29.8,0.8,0.19,10.1,41195.6
8.0,81.0,67.0,5.016,3.941,1565.6,29.8,0.75,0.18,10.1,15174.1
8.0,81.0,71.0,5.016,3.941,1565.6,29.8,0.83,0.19,10.1,16817.4
8.0,81.0,337.7,5.016,3.941,1565.6,29.8,0.68,0.18,10.1,65858.0
8.0,81.25,326.2,5.062,3.987,1571.2,29.8,0.65,0.19,10.1,61565.8
8.0,81.25,108.5,5.062,3.987,1571.2,29.8,0.67,0.21,10.1,20561.6
8.0,81.25,295.4,5.062,3.987,1571.2,29.8,0.71,0.2,10.1,58531.1
8.0,81.25,340.5,5.062,3.987,1571.2,29.8,0.77,0.18,10.1,74995.1
8.0,81.25,144.1,5.062,3.987,1571.2,29.8,0.83,0.22,10.1,35798.1
8.0,81.5,72.3,5.214,4.14,1599.8,29.8,0.79,0.18,10.1,16115.2
8.0,81.5,318.1,5.214,4.14,1599.8,29.8,0.74,0.2,10.1,65267.5
8.0,81.5,177.5,5.214,4.14,1599.8,29.8,0.77,0.21,10.1,41543.3
8.0,81.5,176.5,5.214,4.14,1599.8,29.8,0.83,0.21,10.1,43595.2
8.0,81.5,172.5,5.214,4.14,1599.8,29.8,0.81,0.19,10.1,43471.5
8.0,81.75,337.2,1.0,,,29.8,0.62,0.2,10.1,
8.0,81.75,75.4,1.0,,,29.8,0.69,0.17,10.1,
8.0,81.75,78.5,1.0,,,29.8,0.82,0.19,10.1,
8.0,81.75,65.0,1.0,,,29.8,0.71,0.21,10.1,
8.0,81.75,236.5,1.0,,,29.8,0.63,0.21,10.1,
8.0,82.0,133.4,1.0,,,29.8,0.76,0.21,10.1,
8.0,82.0,196.6,1.0,,,29.8,0.81,0.19,10.1,
8.0,82.0,144.6,1.0,,,29.8,0.84,0.2,10.1,
8.0,82.0,211.0,1.0,,,29.8,0.7,0.21,10.1,
8.0,82.0,41.8,1.0,,,29.8,0.84,0.21,10.1,
8.0,82.25,163.2,1.0,,,29.8,0.83,0.2,10.1,
8.0,82.25,68.7,1.0,,,29.8,0.69,0.17,10.1,
8.0,82.25,48.9,1.0,,,29.8,0.85,0.18,10.1,
8.0,82.25,118.8,1.0,,,29.8,0.68,0.21,10.1,
8.0,82.25,71.6,1.0,,,29.8,0.72,0.19,10.1,
8.0,82.5,292.5,1.0,,,29.8,0.81,0.22,10.1,
8.0,82.5,173.8,1.0,,,29.8,0.83,0.21,10.1,
8.0,82.5,136.1,1.0,,,29.8,0.66,0.19,10.1,
8.0,82.5,135.1,1.0,,,29.8,0.79,0.19,10.1,
8.0,82.5,203.1,1.0,,,29.8,0.61,0.17,10.1,
8.0,82.75,172.5,1.0,,,29.8,0.69,0.18,10.1,
8.0,82.75,196.1,1.0,,,29.8,0.85,0.17,10.1,
8.0,82.75,191.8,1.0,,,29.8,0.71,0.21,10.1,
8.0,82.75,113.0,1.0,,,29.8,0.76,0.22,10.1,
8.0,82.75,56.8,1.0,,,29.8,0.72,0.18,10.1,
8.0,83.0,220.9,1.0,,,29.8,0.69,0.21,10.1,
8.0,83.0,270.3,1.0,,,29.8,0.84,0.2,10.1,
8.0,83.0,341.4,1.0,,,29.8,0.66,0.2,10.1,
8.0,83.0,66.0,1.0,,,29.8,0.78,0.21,10.1,
8.0,83.0,217.0,1.0,,,29.8,0.65,0.2,10.1,
8.0,83.25,59.0,1.0,,,29.8,0.79,0.17,10.1,
8.0,83.25,251.3,1.0,,,29.8,0.69,0.22,10.1,
8.0,83.25,170.9,1.0,,,29.8,0.6,0.21,10.1,
8.0,83.25,295.4,1.0,,,29.8,0.82,0.18,10.1,
8.0,83.25,56.3,1.0,,,29.8,0.64,0.19,10.1,
8.0,83.5,324.9,1.0,,,29.8,0.64,0.17,10.1,
8.0,83.5,61.3,1.0,,,29.8,0.68,0.19,10.1,
8.0,83.5,79.1,1.0,,,29.8,0.8,0.18,10.1,
8.0,83.5,134.3,1.0,,,29.8,0.65,0.18,10.1,
8.0,83.5,52.8,1.0,,,29.8,0.73,0.2,10.1,
8.0,83.75,282.4,1.0,,,29.8,0.82,0.2,10.1,
8.0,83.75,325.1,1.0,,,29.8,0.68,0.18,10.1,
8.0,83.75,175.4,1.0,,,29.8,0.75,0.22,10.1,
8.0,83.75,279.4,1.0,,,29.8,0.72,0.21,10.1,
8.0,83.75,67.5,1.0,,,29.8,0.65,0.2,10.1,
8.0,84.0,263.2,1.0,,,29.8,0.67,0.19,10.1,
8.0,84.0,302.1,1.0,,,29.8,0.69,0.18,10.1,
8.0,84.0,309.4,1.0,,,29.8,0.82,0.21,10.1,
8.0,84.0,161.0,1.0,,,29.8,0.61,0.19,10.1,
8.0,84.0,181.8,1.0,,,29.8,0.64,0.18,10.1,
8.0,84.25,66.1,1.0,,,29.8,0.78,0.21,10.1,
8.0,84.25,72.1,1.0,,,29.8,0.74,0.2,10.1,
8.0,84.25,235.2,1.0,,,29.8,0.83,0.19,10.1,
8.0,84.25,329.2,1.0,,,29.8,0.69,0.22,10.1,
8.0,84.25,83.8,1.0,,,29.8,0.77,0.21,10.1,
8.0,84.5,267.3,1.0,,,29.8,0.68,0.21,10.1,
8.0,84.5,174.2,1.0,,,29.8,0.83,0.21,10.1,
8.0,84.5,248.0,1.0,,,29.8,0.84,0.2,10.1,
8.0,84.5,316.9,1.0,,,29.8,0.75,0.18,10.1,
8.0,84.5,308.5,1.0,,,29.8,0.74,0.22,10.1,
8.0,84.75,223.8,1.0,,,29.8,0.68,0.19,10.1,
8.0,84.75,210.1,1.0,,,29.8,0.65,0.2,10.1,
8.0,84.75,319.1,1.0,,,29.8,0.78,0.22,10.1,
8.0,84.75,298.2,1.0,,,29.8,0.61,0.19,10.1,
8.0,84.75,101.7,1.0,,,29.8,0.61,0.18,10.1,
8.0,85.0,164.5,1.0,,,29.8,0.79,0.19,10.1,
8.0,85.0,49.4,1.0,,,29.8,0.66,0.19,10.1,
8.0,85.0,98.8,1.0,,,29.8,0.81,0.17,10.1,
8.0,85.0,345.8,1.0,,,29.8,0.64,0.21,10.1,
8.0,85.0,252.5,1.0,,,29.8,0.74,0.18,10.1,
8.0,85.25,193.0,1.0,,,29.8,0.66,0.18,10.1,
8.0,85.25,186.7,1.0,,,29.8,0.67,0.22,10.1,
8.0,85.25,85.5,1.0,,,29.8,0.6,0.22,10.1,
8.0,85.25,138.5,1.0,,,29.8,0.66,0.21,10.1,
8.0,85.25,223.8,1.0,,,29.8,0.73,0.21,10.1,
8.0,85.5,197.4,1.0,,,29.8,0.79,0.2,10.1,
8.0,85.5,60.5,1.0,,,29.8,0.7,0.17,10.1,
8.0,85.5,210.7,1.0,,,29.8,0.69,0.19,10.1,
8.0,85.5,239.6,1.0,,,29.8,0.75,0.2,10.1,
8.0,85.5,334.9,1.0,,,29.8,0.71,0.18,10.1,
8.0,85.75,74.8,1.0,,,29.8,0.8,0.21,10.1,
8.0,85.75,348.8,1.0,,,29.8,0.82,0.2,10.1,
8.0,85.75,127.5,1.0,,,29.8,0.85,0.2,10.1,
8.0,85.75,230.7,1.0,,,29.8,0.81,0.22,10.1,
8.0,85.75,248.8,1.0,,,29.8,0.7,0.21,10.1,
8.0,86.0,108.4,1.0,,,29.8,0.8,0.18,10.1,
8.0,86.0,150.9,1.0,,,29.8,0.63,0.21,10.1,
8.0,86.0,292.9,1.0,,,29.8,0.62,0.18,10.1,
8.0,86.0,57.6,1.0,,,29.8,0.62,0.21,10.1,
8.0,86.0,89.3,1.0,,,29.8,0.79,0.19,10.1,
8.0,86.25,81.7,1.0,,,29.8,0.68,0.22,10.1,
8.0,86.25,264.0,1.0,,,29.8,0.69,0.22,10.1,
8.0,86.25,183.3,1.0,,,29.8,0.73,0.19,10.1,
8.0,86.25,55.9,1.0,,,29.8,0.72,0.17,10.1,
8.0,86.25,103.1,1.0,,,29.8,0.64,0.2,10.1,
8.0,86.5,309.7,1.0,,,29.8,0.63,0.19,10.1,
8.0,86.5,225.4,1.0,,,29.8,0.74,0.22,10.1,
8.0,86.5,278.7,1.0,,,29.8,0.78,0.22,10.1,
8.0,86.5,122.2,1.0,,,29.8,0.6,0.19,10.1,
8.0,86.5,235.3,1.0,,,29.8,0.74,0.2,10.1,
8.0,86.75,191.4,1.0,,,29.8,0.8,0.2,10.1,
8.0,86.75,224.7,1.0,,,29.8,0.83,0.17,10.1,
8.0,86.75,67.9,1.0,,,29.8,0.74,0.18,10.1,
8.0,86.75,98.6,1.0,,,29.8,0.78,0.17,10.1,
8.0,86.75,43.0,1.0,,,29.8,0.75,0.2,10.1,
8.0,87.0,282.3,1.0,,,29.8,0.65,0.21,10.1,
8.0,87.0,336.8,1.0,,,29.8,0.62,0.22,10.1,
